avatarThumbnail,cid,createTime,createTimeISO,diggCount,input,likedByAuthor,pinnedByAuthor,repliesToId,replyCommentTotal,submittedVideoUrl,uid,uniqueId,videoWebUrl,text,"Label (1 = positif, 2 = netral, 3 = negatif)"
https://p16-common-sign-sg.tiktokcdn-us.com/tos-alisg-avt-0068/00b59c3a7aaee9594c89c986d9d5f0fa~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=31f236f2&x-expires=1748628000&x-signature=1fpgI4fnBPG%2Fa1IsnV0YLM4ltyI%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5,7509100558436762375,1748348727,2025-05-27T12:25:27.000Z,0,https://www.tiktok.com/@sctv_/video/7506043543207595319,FALSE,FALSE,,0,https://www.tiktok.com/@sctv_/video/7506043543207595319,7446197017703203847,joula.rantung,https://www.tiktok.com/@sctv_/video/7506043543207595319,🤣🤣🤣🤣🤣🤣 maybe we must ask ongkor in here,3
https://p16-common-sign-sg.tiktokcdn-us.com/tos-alisg-avt-0068/fce61b71152650c3c617509a8a901e84~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=ee46dfad&x-expires=1748628000&x-signature=KkQf70jNs8V73BhbhC%2F8pkKA7Dc%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5,7506044062333944584,1747637093,2025-05-19T06:44:53.000Z,6,https://www.tiktok.com/@sctv_/video/7506043543207595319,FALSE,FALSE,,0,https://www.tiktok.com/@sctv_/video/7506043543207595319,6542820956922068994,artica73,https://www.tiktok.com/@sctv_/video/7506043543207595319,min trailer agz min,2
https://p16-common-sign-sg.tiktokcdn-us.com/tos-alisg-avt-0068/668c168142e16fa43c5a4e2e0c24d078~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=f4a47c71&x-expires=1748628000&x-signature=5RGkrTXKx28Rujsaria5BHNL170%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5,7508994709831172885,1748324080,2025-05-27T05:34:40.000Z,0,https://www.tiktok.com/@sctv_/video/7506043543207595319,FALSE,FALSE,,0,https://www.tiktok.com/@sctv_/video/7506043543207595319,6958675421827433478,rnw1267,https://www.tiktok.com/@sctv_/video/7506043543207595319,omegot,2
https://p16-common-sign-va.tiktokcdn-us.com/tos-maliva-avt-0068/bbe1e64dd79bd5b8b3859ecb0ae31b61~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=0631f006&x-expires=1748628000&x-signature=XedDXB%2BBy1p5pOOTl16BgvKhPPE%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5,7506056415371756306,1747639961,2025-05-19T07:32:41.000Z,9,https://www.tiktok.com/@sctv_/video/7506043543207595319,FALSE,FALSE,,5,https://www.tiktok.com/@sctv_/video/7506043543207595319,6781287782930646018,secretlifeofil,https://www.tiktok.com/@sctv_/video/7506043543207595319,trailer agz min🥰,2
https://p16-common-sign-sg.tiktokcdn-us.com/tos-alisg-avt-0068/634bc3f2f0e1ab721c84d631409c6a13~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=35569a67&x-expires=1748628000&x-signature=fFgb9E8ZkdxgIIEra3ackp94kLs%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5,7506044081106141960,1747637087,2025-05-19T06:44:47.000Z,19,https://www.tiktok.com/@sctv_/video/7506043543207595319,FALSE,FALSE,,0,https://www.tiktok.com/@sctv_/video/7506043543207595319,6780885067134190594,intanurhlza,https://www.tiktok.com/@sctv_/video/7506043543207595319,trailer agz mana minnnn,2
https://p16-common-sign-va.tiktokcdn-us.com/tos-maliva-avt-0068/2704862f37c98c061b5de347c163e4fa~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=995e5132&x-expires=1748628000&x-signature=RDTJ988lOCKvR7MQYERTz5MTviY%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5,7506043998106567441,1747637082,2025-05-19T06:44:42.000Z,77,https://www.tiktok.com/@sctv_/video/7506043543207595319,FALSE,FALSE,,1,https://www.tiktok.com/@sctv_/video/7506043543207595319,7267302407695418373,anyamunira,https://www.tiktok.com/@sctv_/video/7506043543207595319,trailer AGZ miin😭😭😭,2
https://p16-common-sign-useast2a.tiktokcdn-us.com/tos-useast2a-avt-0068-giso/7202598737847353371~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=877b1f30&x-expires=1748628000&x-signature=N821SmjlI8PNoeCiJ6Avi4nNqsM%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5,7506079819706548999,1747645418,2025-05-19T09:03:38.000Z,7,https://www.tiktok.com/@sctv_/video/7506043543207595319,FALSE,FALSE,,1,https://www.tiktok.com/@sctv_/video/7506043543207595319,7195157120966165506,aghisnila,https://www.tiktok.com/@sctv_/video/7506043543207595319,trailer asmara genZ manaaaaaaaaaaa,2
https://p16-common-sign-sg.tiktokcdn-us.com/tos-alisg-avt-0068/f62361d233a62badf6b04e9390ea950d~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=bb71dad4&x-expires=1748628000&x-signature=lKNQySj4G%2FB9S%2BQBYCDLtq8YYmo%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5,7506050185844540168,1747638509,2025-05-19T07:08:29.000Z,47752,https://www.tiktok.com/@sctv_/video/7506043543207595319,FALSE,FALSE,,246,https://www.tiktok.com/@sctv_/video/7506043543207595319,6545962451266781186,nabillaaptriii,https://www.tiktok.com/@sctv_/video/7506043543207595319,sibuk banget pemerintah ngurusin hal beginian 🤣,3
https://p16-common-sign-va.tiktokcdn-us.com/tos-maliva-avt-0068/3d62fa4885a3c915522621aac1f71795~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=41f3725d&x-expires=1748628000&x-signature=IqDJE58SqBopNE0YXahj6DgMDX0%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5,7506076503873422098,1747644637,2025-05-19T08:50:37.000Z,3665,https://www.tiktok.com/@sctv_/video/7506043543207595319,FALSE,FALSE,,11,https://www.tiktok.com/@sctv_/video/7506043543207595319,7352156948358743045,mystmaa,https://www.tiktok.com/@sctv_/video/7506043543207595319,"mau belanja aja di atur""",3
https://p16-common-sign-sg.tiktokcdn-us.com/tos-alisg-avt-0068/2bc8845fb9fde2b7cb4e75d215f4b43e~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=a0055cd8&x-expires=1748628000&x-signature=pRIH0T6GgUGeEMArMB0nEZTyphE%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5,7506061928242889490,1747641242,2025-05-19T07:54:02.000Z,3389,https://www.tiktok.com/@sctv_/video/7506043543207595319,FALSE,FALSE,,8,https://www.tiktok.com/@sctv_/video/7506043543207595319,6821317214521246722,coruscateeeee,https://www.tiktok.com/@sctv_/video/7506043543207595319,"hal beginian di urusin ya Allah, memang gamau rakyatnya bahagia",3
https://p16-common-sign-sg.tiktokcdn-us.com/tos-alisg-avt-0068/80b48244d9bf75750853203f490c8ae5~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=64ddfdac&x-expires=1748628000&x-signature=f8JDG3Edh1J%2Bmgu0U391o41lyeA%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5,7506060833094517522,1747640994,2025-05-19T07:49:54.000Z,27071,https://www.tiktok.com/@sctv_/video/7506043543207595319,FALSE,FALSE,,128,https://www.tiktok.com/@sctv_/video/7506043543207595319,7042249379499770907,ooribeefsnn,https://www.tiktok.com/@sctv_/video/7506043543207595319,segala gratis ongkir diurusin njirr,3
https://p16-common-sign-va.tiktokcdn-us.com/tos-maliva-avt-0068/d7bb642ffc1fc0a14b85c3cedbb4f23a~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=23e1598a&x-expires=1748628000&x-signature=Dn7gErpo2nN2sU8UH3G%2BMEBsF3c%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5,7506087491440968464,1747647212,2025-05-19T09:33:32.000Z,6622,https://www.tiktok.com/@sctv_/video/7506043543207595319,FALSE,FALSE,,42,https://www.tiktok.com/@sctv_/video/7506043543207595319,6959068915335005189,sukamiev,https://www.tiktok.com/@sctv_/video/7506043543207595319,ikut campur bgt😭😭😭,3
